,title_ramowka,redactor,datetime
5063,RadioAktywni,Jacek Nizinkiewicz ,2023-01-20 19:00:00
5064,Biforek,Mikołaj Tyczyński,2023-01-20 21:00:00
5065,Sejsmograf,Kinga Krasuska,2023-01-20 22:00:00
5066,Koncertowe granie,,2023-01-21 00:00:00
5067,Muzyka do rana,,2023-01-21 01:15:00
5068,Sobotni brzask,"Maciej Jankowski, Weronika Wawrzkowicz ",2023-01-21 07:00:00
5069,Koncert życzeń,"Piotr Bukartyk, Adam Stasiak ",2023-01-21 10:00:00
5070,Deliberatorium,Beata Grabarczyk ,2023-01-21 12:00:00
5071,Muzyczny gabinet terapeutyczny,Monika Borzym,2023-01-21 13:00:00
5072,Sny kolorowe,Barbara Gregorczyk,2023-01-21 14:00:00
5073,Stulecie dziwów,Jerzy Sosnowski ,2023-01-21 15:00:00
5074,Miłomuzomania,Kinga Krasuska,2023-01-21 16:00:00
5075,Mięta do (pop)kultury,Katarzyna Oklińska,2023-01-21 18:00:00
5076,"Szczyt wszystkiego, czyli każda lista świata","Mateusz Andruszkiewicz, Maciej Jankowski, Marcin Mann",2023-01-21 19:00:00
5077,TIP-TOP Lista Radia Nowy Świat,Michał Porycki ,2023-01-21 20:00:00
5078,Domówka,Paweł Orlikowski,2023-01-21 22:00:00
5079,"Koncert ""Jazz po polsku""",,2023-01-22 00:00:00
5080,Muzyka do rana,,2023-01-22 01:00:00
5081,De Cuba Su Musica,Jose Torres,2023-01-22 08:00:00
5082,Soulówka,Mikołaj Tyczyński,2023-01-22 10:00:00
5083,Manniak po omacku,Wojciech Mann,2023-01-22 11:00:00
5084,Raczek movie,Tomasz Raczek ,2023-01-22 13:00:00
5085,Etykieta zastępcza,Adam Stasiak,2023-01-22 14:00:00
5086,Pora siesty,Marcin Kydryński,2023-01-22 15:00:00
5087,W głębi duszy,Eliza Michalik ,2023-01-22 17:00:00
5088,Nie tylko hip-hop,Mateusz Andruszkiewicz,2023-01-22 18:00:00
5089,Czytał Michał Nogaś,Michał Nogaś ,2023-01-22 19:00:00
5090,Piosennik,Andrzej Poniedzielski,2023-01-22 20:00:00
5091,Nocne miraże,Marcelina Słomian,2023-01-22 22:00:00
5092,Muzyka do rana,,2023-01-23 00:00:00
5093,Nowy świt,Mateusz Andruszkiewicz ,2023-01-23 06:00:00
5094,Muzoleum,Wojciech Mann,2023-01-23 10:00:00
5095,W środku dnia,Jan Niebudek ,2023-01-23 11:00:00
5096,Dziękuję za wypowiedź,Adam Nowak,2023-01-23 14:00:00
5097,Nowy Świat po południu,Ksenia Maćczak ,2023-01-23 16:00:00
5098,Strumień zdumień,Jan Chojnacki ,2023-01-23 19:00:00
5099,JerzoBrzmienia,Jerzy Sosnowski ,2023-01-23 21:00:00
5100,Muzyka bardzo poważna,Krzysztof Grabowski,2023-01-23 22:00:00
5101,Muzyka do rana,,2023-01-24 00:00:00
5102,Nowy świt,Katarzyna Kasia ,2023-01-24 06:00:00
5103,Motyw przewodni,Mateusz Kuśmierek,2023-01-24 10:00:00
5104,W środku dnia,Mateusz Andruszkiewicz ,2023-01-24 11:00:00
5105,Personal bigos,Marcin Mann,2023-01-24 14:00:00
5106,Akademia rocka,Adam Stasiak,2023-01-24 15:00:00
5107,Nowy Świat po południu,Michał Porycki ,2023-01-24 16:00:00
5108,Wagle,"Wojciech Waglewski, Fisz",2023-01-24 19:00:00
5109,Punkt widzenia,Beata Grabarczyk ,2023-01-24 21:00:00
5110,Świat naszej muzyki,Bartek Winczewski,2023-01-24 22:00:00
5111,Muzyka do rana,,2023-01-25 00:00:00
5112,Nowy świt,Mateusz Andruszkiewicz ,2023-01-25 06:00:00
5113,Wszystko gra,Maciej Jankowski,2023-01-25 10:00:00
5114,W środku dnia,Jan Niebudek ,2023-01-25 11:00:00
5115,Dzieci bluesa,Jan Chojnacki ,2023-01-25 14:00:00
5116,Nowy Świat po południu,Michał Porycki ,2023-01-25 16:00:00
5117,Bon ton,Agnieszka Lipka-Barnett,2023-01-25 19:00:00
5118,Słowo daję,Jarosław Mikołajewski ,2023-01-25 21:00:00
5119,Muzyka do czytania,Michał Nogaś,2023-01-25 22:00:00
5120,Muzyka do rana,,2023-01-26 00:00:00
5121,Nowy świt,Katarzyna Kasia ,2023-01-26 06:00:00
5122,Numer na bis,Maria Zamachowska,2023-01-26 10:00:00
5123,W środku dnia,Jan Niebudek ,2023-01-26 11:00:00
5124,Zamach na dziesiątą muzę,Zbigniew Zamachowski,2023-01-26 14:00:00
5125,Nowy Świat po południu,Michał Porycki ,2023-01-26 16:00:00
5126,Napiór w eterze,Marek Napiórkowski,2023-01-26 19:00:00
5127,Punkt widzenia,Beata Grabarczyk,2023-01-26 21:00:00
5128,Nocny świat,Mikołaj Kierski,2023-01-26 22:00:00
5129,Powidoki,Bruno Jasieński,2023-01-26 23:00:00
5130,Muzyka do rana,,2023-01-27 00:00:00
5131,Poranna Manna,Wojciech Mann ,2023-01-27 06:00:00
5132,Dobrze nastrojone,Marcelina Słomian,2023-01-27 10:00:00
5133,W środku dnia,Jan Niebudek ,2023-01-27 11:00:00
5134,Klimaty na raty,Jan Janczy,2023-01-27 14:00:00
5135,Nowy Świat po południu,Michał Porycki ,2023-01-27 16:00:00
5136,RadioAktywni,Jacek Nizinkiewicz,2023-01-27 19:00:00
5137,Biforek,Mikołaj Tyczyński ,2023-01-27 21:00:00
5138,Sejsmograf,Kinga Krasuska,2023-01-27 22:00:00
5139,Koncertowe granie,,2023-01-28 00:00:00
5140,Muzyka do rana,,2023-01-28 00:45:00
5141,Sobotni brzask,"Maciej Jankowski, Weronika Wawrzkowicz ",2023-01-28 07:00:00
5142,Koncert życzeń,"Joanna Kołaczkowska, Michał Nogaś ",2023-01-28 10:00:00
5143,Deliberatorium,Klaudiusz Slezak ,2023-01-28 12:00:00
5144,Muzyczny gabinet terapeutyczny,Monika Borzym,2023-01-28 13:00:00
5145,Sny kolorowe,Barbara Gregorczyk ,2023-01-28 14:00:00
5146,Stulecie dziwów,Jerzy Sosnowski ,2023-01-28 15:00:00
5147,Miłomuzomania,Kinga Krasuska,2023-01-28 16:00:00
5148,Mięta do (pop)kultury,Katarzyna Oklińska,2023-01-28 18:00:00
5149,"Szczyt wszystkiego, czyli każda lista świata","Mateusz Andruszkiewicz, Maciej Jankowski, Marcin Mann",2023-01-28 19:00:00
5150,TIP-TOP Lista Radia Nowy Świat,Michał Porycki ,2023-01-28 20:00:00
5151,Domówka,Paweł Orlikowski,2023-01-28 22:00:00
5152,"Koncert ""Jazz po polsku""",,2023-01-29 00:00:00
5153,Muzyka do rana,,2023-01-29 01:00:00
5154,De Cuba Su Musica,Jose Torres,2023-01-29 08:00:00
5155,Soulówka,Mikołaj Tyczyński,2023-01-29 10:00:00
5156,Manniak po omacku,Wojciech Mann,2023-01-29 11:00:00
5157,Raczek movie,Tomasz Raczek ,2023-01-29 13:00:00
5158,Etykieta zastępcza,Adam Stasiak,2023-01-29 14:00:00
5159,Pora siesty,Marcin Kydryński,2023-01-29 15:00:00
5160,W głębi duszy,Eliza Michalik ,2023-01-29 17:00:00
5161,Nie tylko hip-hop,Mateusz Andruszkiewicz,2023-01-29 18:00:00
5162,Czytał Michał Nogaś,Michał Nogaś ,2023-01-29 19:00:00
5163,Rozdźwięki,Joanna Kołaczkowska,2023-01-29 20:00:00
5164,Nocne miraże,Marcelina Słomian,2023-01-29 22:00:00
5165,Muzyka do rana,,2023-01-30 00:00:00
5166,Nowy świt,Mateusz Andruszkiewicz ,2023-01-30 06:00:00
5167,Muzoleum,Wojciech Mann,2023-01-30 10:00:00
5168,W środku dnia,Jan Niebudek ,2023-01-30 11:00:00
5169,Dziękuję za wypowiedź,Adam Nowak,2023-01-30 14:00:00
5170,Nowy Świat po południu,Ksenia Maćczak ,2023-01-30 16:00:00
5171,Strumień zdumień,Jan Chojnacki,2023-01-30 19:00:00
5172,JerzoBrzmienia,Jerzy Sosnowski ,2023-01-30 21:00:00
5173,Muzyka bardzo poważna,Krzysztof Grabowski,2023-01-30 22:00:00
5174,Muzyka do rana,,2023-01-31 00:00:00
5175,Nowy świt,Katarzyna Kasia ,2023-01-31 06:00:00
5176,Motyw przewodni,Mateusz Kuśmierek,2023-01-31 10:00:00
5177,W środku dnia,Mateusz Andruszkiewicz ,2023-01-31 11:00:00
5178,Personal bigos,Marcin Mann,2023-01-31 14:00:00
5179,Akademia rocka,Adam Stasiak,2023-01-31 15:00:00
5180,Nowy Świat po południu,Michał Porycki ,2023-01-31 16:00:00
5181,Wagle,"Wojciech Waglewski, Fisz",2023-01-31 19:00:00
5182,Punkt widzenia,Beata Grabarczyk ,2023-01-31 21:00:00
5183,Świat naszej muzyki,Bartek Winczewski,2023-01-31 22:00:00
5184,Muzyka do rana,,2023-02-01 00:00:00
5185,Nowy świt,Mateusz Andruszkiewicz ,2023-02-01 06:00:00
5186,Wszystko gra,Maciej Jankowski,2023-02-01 10:00:00
5187,W środku dnia,Jan Niebudek ,2023-02-01 11:00:00
5188,Dzieci bluesa,Jan Chojnacki,2023-02-01 14:00:00
5189,Nowy Świat po południu,Michał Porycki ,2023-02-01 16:00:00
5190,Bon ton,Agnieszka Lipka-Barnett,2023-02-01 19:00:00
5191,Słowo daję,Jarosław Mikołajewski ,2023-02-01 21:00:00
5192,Muzyka do czytania,Michał Nogaś,2023-02-01 22:00:00
5193,Muzyka do rana,,2023-02-02 00:00:00
5194,Nowy świt,"Katarzyna Kasia, Grzegorz Markowski ",2023-02-02 06:00:00
5195,Numer na bis,Maria Zamachowska,2023-02-02 10:00:00
5196,W środku dnia,Jan Niebudek ,2023-02-02 11:00:00
5197,Zamach na dziesiątą muzę,Zbigniew Zamachowski,2023-02-02 14:00:00
5198,Nowy Świat po południu,Michał Porycki ,2023-02-02 16:00:00
5199,Napiór w eterze,Marek Napiórkowski,2023-02-02 19:00:00
5200,Punkt widzenia,Beata Grabarczyk ,2023-02-02 21:00:00
5201,Nocny świat,Mikołaj Kierski,2023-02-02 22:00:00
5202,Powidoki,Bruno Jasieński,2023-02-02 23:00:00
5203,Muzyka do rana,,2023-02-03 00:00:00
5204,Poranna Manna,Wojciech Mann ,2023-02-03 06:00:00
5205,Dobrze nastrojone,Marcelina Słomian,2023-02-03 10:00:00
5206,W środku dnia,Jan Niebudek ,2023-02-03 11:00:00
5207,Klimaty na raty,Jan Janczy,2023-02-03 14:00:00
5208,Nowy Świat po południu,Michał Porycki ,2023-02-03 16:00:00
5209,RadioAktywni,Jacek Nizinkiewicz ,2023-02-03 19:00:00
5210,Biforek,Mikołaj Tyczyński,2023-02-03 21:00:00
5211,Sejsmograf,Kinga Krasuska,2023-02-03 22:00:00
5212,Koncertowe granie,,2023-02-04 00:00:00
5213,Muzyka do rana,,2023-02-04 01:00:00
5214,Sobotni brzask,"Maciej Jankowski, Weronika Wawrzkowicz ",2023-02-04 07:00:00
5215,Koncert życzeń,"Jan Janczy, Patryk Rabiega ",2023-02-04 10:00:00
5216,Deliberatorium,Beata Grabarczyk ,2023-02-04 12:00:00
5217,Muzyczny gabinet terapeutyczny,Monika Borzym,2023-02-04 13:00:00
5218,Sny kolorowe,Barbara Gregorczyk,2023-02-04 14:00:00
5219,Stulecie dziwów,Jerzy Sosnowski ,2023-02-04 15:00:00
5220,Miłomuzomania,Kinga Krasuska,2023-02-04 16:00:00
5221,Mięta do (pop)kultury,Katarzyna Oklińska,2023-02-04 18:00:00
5222,"Szczyt wszystkiego, czyli każda lista świata","Mateusz Andruszkiewicz, Marcin Mann",2023-02-04 19:00:00
5223,TIP-TOP Lista Radia Nowy Świat,Michał Porycki ,2023-02-04 20:00:00
5224,Domówka,Paweł Orlikowski,2023-02-04 22:00:00
5225,"Koncert ""Jazz po polsku""",,2023-02-05 00:00:00
5226,Muzyka do rana,,2023-02-05 01:00:00
5227,De Cuba Su Musica,Jose Torres,2023-02-05 08:00:00
5228,Soulówka,Mikołaj Tyczyński,2023-02-05 10:00:00
5229,Manniak po omacku,Wojciech Mann,2023-02-05 11:00:00
5230,Raczek movie,Tomasz Raczek ,2023-02-05 13:00:00
5231,Etykieta zastępcza,Adam Stasiak,2023-02-05 14:00:00
5232,Pora siesty,Marcin Kydryński,2023-02-05 15:00:00
5233,W głębi duszy,Eliza Michalik ,2023-02-05 17:00:00
5234,Nie tylko hip-hop,Mateusz Andruszkiewicz,2023-02-05 18:00:00
5235,Czytał Michał Nogaś,Michał Nogaś ,2023-02-05 19:00:00
5236,Z archiwum polskiej rozrywki,"Weronika Wawrzkowicz, Michał Nogaś",2023-02-05 20:00:00
5237,Nocne miraże,Marcelina Słomian,2023-02-05 22:00:00
5238,Muzyka do rana,,2023-02-06 00:00:00
5239,Nowy świt,Mateusz Andruszkiewicz ,2023-02-06 06:00:00
5240,Muzoleum,Wojciech Mann,2023-02-06 10:00:00
5241,W środku dnia,Jan Niebudek ,2023-02-06 11:00:00
5242,Dziękuję za wypowiedź,Adam Nowak,2023-02-06 14:00:00
5243,Nowy Świat po południu,Ksenia Maćczak ,2023-02-06 16:00:00
5244,Strumień zdumień,Jan Chojnacki,2023-02-06 19:00:00
5245,JerzoBrzmienia,Jerzy Sosnowski,2023-02-06 21:00:00
5246,Muzyka bardzo poważna,Krzysztof Grabowski,2023-02-06 22:00:00
5247,Muzyka do rana,,2023-02-07 00:00:00
5248,Nowy świt,Katarzyna Kasia ,2023-02-07 06:00:00
5249,Motyw przewodni,Mateusz Kuśmierek,2023-02-07 10:00:00
5250,W środku dnia,Mateusz Andruszkiewicz ,2023-02-07 11:00:00
