,title_ramowka,redactor,datetime
1123,Pora siesty,Marcin Kydryński,2022-01-16 15:00:00
1124,W głębi duszy,Eliza Michalik,2022-01-16 17:00:00
1125,Nie tylko hip-hop,Mateusz Andruszkiewicz,2022-01-16 18:00:00
1126,Czytał Michał Nogaś,Michał Nogaś,2022-01-16 19:00:00
1127,Piosennik,Andrzej Poniedzielski,2022-01-16 20:00:00
1128,Dobrze nastrojone po polsku,Marcelina Słomian,2022-01-16 22:00:00
1129,Osobiste wycieczki,Maciej Grzenkowicz,2022-01-16 23:00:00
1130,Muzyka do rana,,2022-01-17 00:00:00
1131,Nowy świt,Mateusz Andruszkiewicz,2022-01-17 06:00:00
1132,Cafe de Paris,Agnieszka Lipka-Barnett,2022-01-17 10:00:00
1133,W środku dnia,Jan Niebudek,2022-01-17 11:00:00
1134,Dziękuję za wypowiedź,Adam Nowak,2022-01-17 14:00:00
1135,Nowy Świat po południu,Michał Porycki,2022-01-17 16:00:00
1136,Strumień zdumień,Jan Chojnacki,2022-01-17 19:00:00
1137,Punkt widzenia,Jerzy Sosnowski,2022-01-17 21:00:00
1138,Muzyka bardzo poważna,Krzysztof Grabowski,2022-01-17 22:00:00
1139,Nasze nocne granie,Marcelina Słomian,2022-01-18 00:00:00
1140,Nasze nocne granie,Piotr Topoliński,2022-01-18 01:00:00
1141,Muzyka do rana,,2022-01-18 02:00:00
1142,Nowy świt,Katarzyna Kasia,2022-01-18 06:00:00
1143,Motyw przewodni,Mateusz Kuśmierek,2022-01-18 10:00:00
1144,W środku dnia,Mateusz Andruszkiewicz,2022-01-18 11:00:00
1145,Personal bigos,Marcin Mann,2022-01-18 14:00:00
1146,Klimaty na raty,Jan Janczy,2022-01-18 15:00:00
1147,Nowy Świat po południu,Michał Porycki,2022-01-18 16:00:00
1148,Wagle,Wojciech Waglewski,2022-01-18 19:00:00
1149,Punkt widzenia,Beata Grabarczyk,2022-01-18 21:00:00
1150,90/h,,2022-01-18 22:00:00
1151,Muzyka do rana,,2022-01-19 00:00:00
1152,Nowy świt,Mateusz Andruszkiewicz,2022-01-19 06:00:00
1153,Wszystko gra,Maciej Jankowski,2022-01-19 10:00:00
1154,W środku dnia,Jan Niebudek,2022-01-19 11:00:00
1155,Dzieci bluesa,Jan Chojnacki,2022-01-19 14:00:00
1156,Nowy Świat po południu,Michał Porycki,2022-01-19 16:00:00
1157,Badafonia,Kuba Badach,2022-01-19 19:00:00
1158,Słowo daję,Jarosław Mikołajewski,2022-01-19 21:00:00
1159,Muzyka do czytania,Michał Nogaś,2022-01-19 22:00:00
1160,Nasze nocne granie,,2022-01-20 00:00:00
1161,Nasze nocne granie,,2022-01-20 01:00:00
1162,Nowy świt,Katarzyna Kasia,2022-01-20 06:00:00
1163,Audycja dla Krzysztofa,Bartek Winczewski,2022-01-20 09:00:00
1164,Numer na bis,Maria Zamachowska,2022-01-20 10:00:00
1165,W środku dnia,Jan Niebudek,2022-01-20 11:00:00
1166,Zamach na dziesiątą muzę,Zbigniew Zamachowski,2022-01-20 14:00:00
1167,Nowy Świat po południu,Michał Porycki,2022-01-20 16:00:00
1168,Napiór w eterze,Marek Napiórkowski,2022-01-20 19:00:00
1169,Punkt widzenia,Beata Grabarczyk,2022-01-20 21:00:00
1170,Nocny świat,Mikołaj Kierski,2022-01-20 22:00:00
1171,Sejsmograf,Kinga Krasuska,2022-01-20 23:00:00
1172,Muzyka do rana,,2022-01-21 00:00:00
1173,Poranna Manna,Wojciech Mann,2022-01-21 06:00:00
1174,Dobrze nastrojone,Marcelina Słomian,2022-01-21 10:00:00
1175,W środku dnia,Jan Niebudek,2022-01-21 11:00:00
1176,Sny kolorowe,,2022-01-21 13:00:00
1177,Świat nowej muzyki,Bartek Winczewski,2022-01-21 14:00:00
1178,Nowy Świat po południu,Michał Porycki,2022-01-21 16:00:00
1179,Muzyczny gabinet terapeutyczny,Monika Borzym,2022-01-21 19:00:00
1180,RadioAktywni,Jacek Nizinkiewicz,2022-01-21 20:00:00
1181,Powidoki,Bruno Jasieński,2022-01-21 22:00:00
1182,U progu nocy,Kamil Wrona,2022-01-21 23:00:00
1183,Muzyka do rana,,2022-01-22 00:00:00
1184,Sobotni brzask,Maciej Jankowski,2022-01-22 07:00:00
1185,Koncert życzeń,"Marcelina Słomian, Tomasz Raczek",2022-01-22 10:00:00
1186,Deliberatorium,Beata Grabarczyk,2022-01-22 12:00:00
1187,Bon ton,Agnieszka Lipka-Barnett,2022-01-22 13:00:00
1188,Radiolokacja,"Barbara Gregorczyk, Maciej Grzenkowicz",2022-01-22 14:00:00
1189,Stulecie dziwów,Jerzy Sosnowski,2022-01-22 15:00:00
1190,Miłomuzomania,Kinga Krasuska,2022-01-22 16:00:00
1191,Mięta do (pop)kultury,Katarzyna Oklińska,2022-01-22 18:00:00
1192,Soulówka,Mikołaj Tyczyński,2022-01-22 19:00:00
1193,"Szczyt wszystkiego, czyli każda lista świata","Mateusz Andruszkiewicz, Marcin Mann, Maciej Jankowski",2022-01-22 20:00:00
1194,Domówka,Paweł Orlikowski,2022-01-22 22:00:00
1195,Muzyka do rana,,2022-01-23 00:00:00
1196,De Cuba Su Musica,Jose Torres,2022-01-23 08:00:00
1197,Zbiory prywatne,Maria Zamachowska,2022-01-23 10:00:00
1198,Manniak po omacku,Wojciech Mann,2022-01-23 11:00:00
1199,Raczek movie,Tomasz Raczek,2022-01-23 13:00:00
1200,Wesoła warszawska fala,Jan Emil Młynarski,2022-01-23 14:00:00
1201,Pora siesty,Marcin Kydryński,2022-01-23 15:00:00
1202,W głębi duszy,Eliza Michalik,2022-01-23 17:00:00
1203,Nie tylko hip-hop,Mateusz Andruszkiewicz,2022-01-23 18:00:00
1204,Czytał Michał Nogaś,Michał Nogaś,2022-01-23 19:00:00
1205,Piosennik,Andrzej Poniedzielski,2022-01-23 20:00:00
1206,Dobrze nastrojone po polsku,Marcelina Słomian,2022-01-23 22:00:00
1207,Osobiste wycieczki,Maciej Grzenkowicz,2022-01-23 23:00:00
1208,Muzyka do rana,,2022-01-24 00:00:00
1209,Nowy świt,,2022-01-24 06:00:00
1210,Cafe de Paris,Agnieszka Lipka-Barnett,2022-01-24 10:00:00
1211,W środku dnia,Jan Niebudek,2022-01-24 11:00:00
1212,Dziękuję za wypowiedź,Adam Nowak,2022-01-24 14:00:00
1213,Nowy Świat po południu,Michał Porycki,2022-01-24 16:00:00
1214,Strumień zdumień,Jan Chojnacki,2022-01-24 19:00:00
1215,Punkt widzenia,Jerzy Sosnowski,2022-01-24 21:00:00
1216,Muzyka bardzo poważna,Krzysztof Grabowski,2022-01-24 22:00:00
1217,Nasze nocne granie,,2022-01-25 00:00:00
1218,Nasze nocne granie,,2022-01-25 01:00:00
1219,Muzyka do rana,,2022-01-25 02:00:00
1220,Nowy świt,Katarzyna Kasia,2022-01-25 06:00:00
